Include,Row,Column,Y,X,Width,Height
TRUE,A,1,1138,82,62,62
TRUE,A,2,1138,188,62,62
TRUE,A,3,1138,294,62,62
TRUE,A,4,1138,400,62,62
TRUE,A,5,1138,506,62,62
TRUE,A,6,1138,612,62,62
TRUE,A,7,1138,718,62,62
TRUE,A,8,1138,824,62,62
TRUE,A,9,1138,930,62,62
TRUE,A,10,1138,1037,62,62
TRUE,A,11,1138,1144,62,62
TRUE,A,12,1138,1251,62,62
TRUE,B,1,1246,82,62,62
TRUE,B,2,1246,188,62,62
TRUE,B,3,1246,294,62,62
TRUE,B,4,1246,400,62,62
TRUE,B,5,1246,506,62,62
TRUE,B,6,1246,612,62,62
TRUE,B,7,1246,718,62,62
TRUE,B,8,1246,824,62,62
TRUE,B,9,1246,930,62,62
TRUE,B,10,1246,1037,62,62
TRUE,B,11,1246,1144,62,62
TRUE,B,12,1246,1251,62,62
TRUE,C,1,1351,82,62,62
TRUE,C,2,1351,188,62,62
TRUE,C,3,1351,294,62,62
TRUE,C,4,1351,400,62,62
TRUE,C,5,1351,506,62,62
TRUE,C,6,1351,612,62,62
TRUE,C,7,1351,718,62,62
TRUE,C,8,1351,824,62,62
TRUE,C,9,1351,930,62,62
TRUE,C,10,1351,1037,62,62
TRUE,C,11,1351,1144,62,62
TRUE,C,12,1351,1251,62,62
TRUE,D,1,1457,82,62,62
TRUE,D,2,1457,188,62,62
TRUE,D,3,1457,294,62,62
TRUE,D,4,1457,400,62,62
TRUE,D,5,1457,506,62,62
TRUE,D,6,1457,612,62,62
TRUE,D,7,1457,718,62,62
TRUE,D,8,1457,824,62,62
TRUE,D,9,1457,930,62,62
TRUE,D,10,1457,1037,62,62
TRUE,D,11,1457,1144,62,62
TRUE,D,12,1457,1251,62,62
TRUE,E,1,1564,82,62,62
TRUE,E,2,1564,188,62,62
TRUE,E,3,1564,294,62,62
TRUE,E,4,1564,400,62,62
TRUE,E,5,1564,506,62,62
TRUE,E,6,1564,612,62,62
TRUE,E,7,1564,718,62,62
TRUE,E,8,1564,824,62,62
TRUE,E,9,1564,930,62,62
TRUE,E,10,1564,1037,62,62
TRUE,E,11,1564,1144,62,62
TRUE,E,12,1564,1251,62,62
TRUE,F,1,1671,82,62,62
TRUE,F,2,1671,188,62,62
TRUE,F,3,1671,294,62,62
TRUE,F,4,1671,400,62,62
TRUE,F,5,1671,506,62,62
TRUE,F,6,1671,612,62,62
TRUE,F,7,1671,718,62,62
TRUE,F,8,1671,824,62,62
TRUE,F,9,1671,930,62,62
TRUE,F,10,1671,1037,62,62
TRUE,F,11,1671,1144,62,62
TRUE,F,12,1671,1251,62,62
TRUE,G,1,1776,82,62,62
TRUE,G,2,1776,188,62,62
TRUE,G,3,1776,294,62,62
TRUE,G,4,1776,400,62,62
TRUE,G,5,1776,506,62,62
TRUE,G,6,1776,612,62,62
TRUE,G,7,1776,718,62,62
TRUE,G,8,1776,824,62,62
TRUE,G,9,1776,930,62,62
TRUE,G,10,1776,1037,62,62
TRUE,G,11,1776,1144,62,62
TRUE,G,12,1776,1251,62,62
TRUE,H,1,1882,82,62,62
TRUE,H,2,1882,188,62,62
TRUE,H,3,1882,294,62,62
TRUE,H,4,1882,400,62,62
TRUE,H,5,1882,506,62,62
TRUE,H,6,1882,612,62,62
TRUE,H,7,1882,718,62,62
TRUE,H,8,1882,824,62,62
TRUE,H,9,1882,930,62,62
TRUE,H,10,1882,1037,62,62
TRUE,H,11,1882,1144,62,62
TRUE,H,12,1882,1251,62,62
